"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","promotional rebates","promotional rebates tax","selling fees","fba fees","other transaction fees","other","total"
"Jan. 3, 2021 1:47:49 p.m. PST","13701774921","Order","701-1176439-2597856","SADDL-2201DD-BLK","SADDLER Womens Real Leather Multi Credit Card Purse Wallet with Zip Coin Pocket - Black","1","amazon.ca","Amazon","Ponteix","Saskatchewan","S0N 1Z0","","16.99","0.85","2.93","0","0","0","-2.93","0","-2.55","-5.71","-0.02","0","9.56"
"Jan. 3, 2021 3:54:55 p.m. PST","13701774921","Order","702-8167061-4473011","SPBR-CUR-2115-02","SWISS REIMAGINED Spring Bar Pins - Curved Stainless Steel - for Attaching Watch Band to Watches (Set of Two) - 21mm X 1.5mm","1","amazon.ca","Amazon","Mississauga","Ontario","L5L 2M8","","7.99","1.04","0","0","0","0","0","0","-1.60","-3.81","-0.03","0","3.59"
"Jan. 3, 2021 5:36:21 p.m. PST","13701774921","Order","701-4316776-5211453","SADDL-2068-PCBLU","SADDLER Womens Leather Bifold Purse Wallet Clutch with Zip Coin Purse| Gift Boxed - Navy","1","amazon.ca","Amazon","EDMONTON","AB","T5K 0N0","","44.99","2.25","0","0","0","0","0","0","-6.75","-5.71","-0.07","0","34.71"
"Jan. 4, 2021 7:19:24 a.m. PST","13701774921","Order","701-1812049-0978602","SADDL-2204DD-BLK","SADDLER Womens Large Leather Trifold Credit Card Coin Purse Wallet |Gift Boxed - Black","1","amazon.ca","Amazon","St-Eustache","Quebec","J7P 4L2","","24.99","1.25","3.93","0","0","0","-3.93","0","-3.75","-6.15","-0.04","0","16.30"
"Jan. 4, 2021 6:38:10 p.m. PST","13701774921","Refund","702-9629514-7264225","SADDL-2044-FUCH","SADDLER Womens Leather Multi Section Credit Card Clutch Purse Wallet| Gift Boxed - Fuchsia","1","amazon.ca","Amazon","Truro","Nova Scotia","B2N 6T2","","-49.99","-7.50","0","0","0","0","0","0","6.00","0","0","0","-51.49"
"Jan. 4, 2021 7:42:59 p.m. PST","13701774921","Order","702-3225480-4944239","SPBR-CUR-2318-02","SWISS REIMAGINED Spring Bar Pins - Curved Stainless Steel - for Attaching Watch Band to Watches (Set of Two) - 23mm X 1.8mm","1","amazon.ca","Amazon","Edmonton","Alberta","T5X 2N3","","7.99","0.40","0","0","0","0","0","0","-1.28","-3.54","-0.01","0","3.56"
"Jan. 4, 2021 8:56:26 p.m. PST","13701774921","Order","702-3895617-6681835","SADDL-2203DD-BLK","SADDLER Womens Medium Leather Credit Card Coin Purse Wallet with Zip |Gift Boxed - Black","1","amazon.ca","Amazon","MALLORYTOWN","ONTARIO","K0E1R0","","22.99","2.99","0","0","0","0","0","0","-3.45","-6.15","-0.09","0","16.29"
"Jan. 5, 2021 1:07:34 a.m. PST","13701774921","FBA Inventory Fee","IQfbrz3WBe","","FBA Removal Order: Disposal Fee","","Amazon.ca","","","","","","0","0","0","0","0","0","0","0","0","0","0","-0.34","-0.34"
"Jan. 5, 2021 7:03:36 a.m. PST","13701774921","Order","701-0326167-5862628","SADDL-2201DD-PTY","SADDLER Womens Real Leather Multi Credit Card Purse Wallet with Zip Coin Pocket - Putty Grey","1","amazon.ca","Amazon","pickering","Ontario","L1V6P5","","16.99","2.21","3.26","0","0","0","-3.26","0","-2.55","-6.15","-0.06","0","10.44"
"Jan. 5, 2021 12:28:40 p.m. PST","13701774921","Order","701-6982117-9777063","SADDL-2053-RED","SADDLER Womens Luxurious Real Leather Trifold Wallet Purse Clutch | Gift Boxed - Red","1","amazon.ca","Amazon","Dartmouth","Nova Scotia","B2W 4X3","","39.99","6.00","0","0","0","0","0","0","-6.00","-6.29","-0.17","0","33.53"
